CASE,EXPECTED,AXIOM,PER,BOON_RAW,BOON_GATED,GATED,CORRECT_RAW,CORRECT_GATED,ECA_STATE
GR-PARA-03-P3-01,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-02,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-03,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-04,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-05,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-06,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-07,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-08,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-09,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-10,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-11,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-12,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-13,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-14,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-15,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-16,Supported,Supported,Supported,MODEL_EXECUTION_BLOCKED,MODEL_EXECUTION_BLOCKED,False,False,False,ECA_NA (Needs_info)
GR-PARA-03-P3-17,Supported,Supported,Supported,MODEL_EXECUTION_BLOCKED,MODEL_EXECUTION_BLOCKED,False,False,False,ECA_NA (Needs_info)
GR-PARA-03-P3-18,Supported,Supported,Supported,MODEL_EXECUTION_BLOCKED,MODEL_EXECUTION_BLOCKED,False,False,False,ECA_NA (Needs_info)
GR-PARA-03-P3-19,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-20,Supported,Supported,Supported,Supported,Supported,False,True,True,ECA_PASSED: |R|=1 ΔH=1.2 gate=DESCENT_GRANTED
GR-PARA-03-P3-21,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-22,Needs_info,Needs_info,Needs_info,Needs_info,Needs_info,False,True,True,ECA_NA (Needs_info)
GR-PARA-03-P3-23,Needs_info,Needs_info,Needs_info,MODEL_EXECUTION_BLOCKED,MODEL_EXECUTION_BLOCKED,False,False,False,ECA_NA (Needs_info)
GR-PARA-03-P3-24,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-25,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-26,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-27,Needs_info,Needs_info,Needs_info,Needs_info,Needs_info,False,True,True,ECA_NA (Needs_info)
GR-PARA-03-P3-28,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-29,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-30,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-31,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-32,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-33,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-34,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-35,Needs_info,Needs_info,Needs_info,Needs_info,Needs_info,False,True,True,ECA_NA (Needs_info)
GR-PARA-03-P3-36,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-37,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
GR-PARA-03-P3-38,Needs_info,Needs_info,Needs_info,Supported,Needs_info,True,False,True,ECA_BLOCKED: |R|=0 ΔH=0.0 gate=REFUSE (ECA would block hallucinated Supported)
