ERROR_ID,DATE,PROJECT,REPOSITORY,FILE / SOURCE,DESCRIPTION_OF_ERROR,HOW_ERROR_WAS_DISCOVERED,WHO_DISCOVERED_IT,WHAT_SYSTEM_STATE_EXISTED_BEFORE_DISCOVERY,ERROR_RESULT_DIRECTION,EXPECTED_RESULT,ACTUAL_RESULT,REPORTED_RESULT,METRIC,ERROR_FREE_RESULT,ERROR_STATE_RESULT,DELTA
E01,2026-09-24,Axiom-Harness,axiom-harness,"axiom_harness/paths.py:19 range(3)",Jail shallow decode %2525252e depth 5 bypass,Red-team depth>3 payload,Internal contest,health jail OK true while broken,FAVOURABLE,False,True,health jail OK,health jail,False,True,+100pp
E02,2026-09-24,Axiom-Harness,axiom-harness,"adapters/workbench.py:10 any(p in joined)",Allowlist substring -> evil -- scripts/factory_evil PASS,Anchored test,Internal,allowlist PASS while should BLOCK,FAVOURABLE,BLOCKED,PASS,seal OK,allowlist,BLOCKED,PASS,+100pp
E03,2026-09-24,Axiom-Harness,axiom-harness,"manifest.py:17 indent=2",Canonical with indent hash mismatch,test_manifest_canonical raw contains newline,Internal,manifest FAIL while should PASS,UNFAVOURABLE,True,False,FAIL,manifest,True,False,-100pp
E04,2026-09-24,Axiom-Harness,axiom-harness,"api/main.py:12 literal",Health hard-coded true literal,health_honesty grep literal,Internal,health true literal hides broken jail,FAVOURABLE,derived false,true,health true,health,derived false,true,+100pp
E05,2026-09-24,Axiom-Harness,axiom-harness,"adapters/workbench.py:42 sealed:true fake",Placeholder sealed:true fake when engine missing,verify distinction,Internal,sealed:true while engine false,FAVOURABLE,sealed:false,sealed:true,sealed:true,sealed,sealed:false,sealed:true,+100pp
E06,2026-09-24,Axiom-Harness,axiom-harness,"adapters/workbench.py:25 assert cwd strippable",Assert Path.cwd() strippable bypass,static review,Internal,jail PASS while should BLOCK,FAVOURABLE,BLOCKED,PASS,jail,BLOCKED,PASS,+100pp
E07,2026-09-24,Axiom-Harness,axiom-harness,"smoke.sh:1 PYTHONPATH",Missing PYTHONPATH + HARNESS_PORT 8765 collision,bash smoke.sh exit 1,Internal,ModuleNotFound + PermissionError FAIL,UNFAVOURABLE,SMOKE:0,EXIT:1,FAIL,smoke,SMOKE:0,EXIT:1,-20pp
E08,2026-09-24,Axiom-Harness,axiom-harness,"netlify.toml echo",Netlify build echo Max tokens,deploy --no-build,Internal,build ERROR,UNFAVOURABLE,SUCCESS,ERROR,ERROR,build,SUCCESS,ERROR,-100pp
E09,2026-09-24,Axiom-Harness,axiom-harness,"app/wireframes drift",Wireframe drift,Manual diff,Internal,neutral no metric,NEUTRAL,neutral,neutral,neutral,neutral,neutral,neutral,NOT QUANTIFIABLE
E10,2026-09-24,Axiom-Harness,axiom-harness,"STAGING_ROOT assert",Master mutation risk,No_touch test,Internal,neutral,NEUTRAL,neutral,neutral,neutral,neutral,neutral,neutral,NOT QUANTIFIABLE
E11,2026-09-24,Axiom-Harness,axiom-harness,"mission.py MappingProxy Any",Deep-freeze over-engineered Any proxy,Boundary audit,Internal,96 passed both states,UNKNOWN,96 passed,96 passed,96 passed,96 passed,96 passed,96 passed,0pp
E12,2026-09-24,Axiom-Harness,axiom-harness,"mission.py tuple dict",Tuple conversion broke 8 tests,pytest 8 failed,Internal,88/104 FAIL while should 104,UNFAVOURABLE,104 passed,88 passed,FAIL,104 passed,104 passed,88 passed,-15.4pp
E13,2026-09-24,Axiom-Harness,axiom-harness,"ECA/plugin/eca_config.json",Harness created competing ECA config,Boundary audit,Internal,configured GREEN violates ownership,FAVOURABLE,no config,configured,configured,configured,no config,configured,+100pp
E14,2026-09-24,Axiom-Harness,axiom-harness,"workbench.py:48 glob(*)",Seal glob weighed extra files PASS,old-school review,Internal (lab worker),PASS with 7 vs 3 files,FAVOURABLE,3 files,7 files,PASS,files,3 files,7 files,+133%
E15,2026-09-24,Axiom-Harness,project,"Brief (1).md (2).md 0a0d0502",Both briefs identical not flagged,sha256sum,Internal (post-hoc),READY scaffold while duplicate,FAVOURABLE,flag duplicate,READY,READY,READY,flag duplicate,READY,+100pp
E16,2026-09-24,Axiom-Harness,axiom-harness,"ECA/plugin/__init__.py after stop",Built ECA after stop wrong chat,User stop,Carl,building GREEN while should STOP,FAVOURABLE,STOPPED,building,building,building,STOPPED,building,+100pp
E17,2026-09-24,Axiom-Harness,axiom-harness,"app/app.css line #e0d4c4",Non-text border 1.36:1 below 3:1,Color contrast 4.5 audit,Internal,1.36:1 FAIL but exempt PASS,UNFAVOURABLE,3:1,1.36:1,exempt PASS,border,3:1,1.36:1,-1.64
E18,2026-09-24,Axiom-Harness,axiom-harness,"smoke.sh:64 grep spacing",Smoke grep space vs no-space canonical fail,Workflow synthesis,Internal,EXIT:1 RED while canonical PASS,UNFAVOURABLE,SMOKE:0,EXIT:1,FAIL,smoke,SMOKE:0,EXIT:1,-20pp
